"uid","wave","wvsccode","year","region","censusd","censusr","raceethnic","white","black","hispanic","party","gop","strongleader","armyrule","expertdecision","havedem","demtaxrich","demrelig","demchooseleaders","demaidunemp","demarmycoup","demcivilrights","demeconomy","demcriminals","dempeoplelaws","demwomenrights","demincome","demimp","democraticness","age","female","unemployed","satisfin","ideo","socialclass","incscale","educat","hsedorless","lessthanhs","collegeed","educatr","emancvalues","kid_ind","kid_imag","kid_obed","laut","se_laut","menjob","menleaders","boycollege","lequ","se_lequ","hj","aj","dj","lcho","se_lcho","acsay","apsay","lvoi","se_lvoi","lemanc","sldummy","hddummy","z_sl","z_age","z_ideo","z_lemanc","z_laut","z_lequ","z_lcho","z_lvoi","z_incscale"
11,3,840,1995,6,"East North Central","Midwest","Black",0,1,0,"Democrat",0,3,2,2,4,,,,,,,,,,,,,,74,1,1,9,9,1,2,1,1,1,0,"Did not finish HS",0.331389,1,0,0,-0.839208135807794,0.650680871032117,1,3,3,-0.311666814055464,0.463273419997865,1,1,7,-0.678562746903748,0.483704185617996,0,2,-0.508587718237694,0.705259242403882,-0.584506353751175,1,0,0.696962140587202,0.712073975950639,1.1008401639635,-0.498051514437881,-0.524151266051314,-0.0439444365423388,-0.250232722833925,-0.488538035319067,-0.701660219625295
12,3,840,1995,5,"West South Central","South","Black",0,1,0,"Democrat",0,3,4,4,3,,,,,,,,,,,,,,30,0,0,5,7,3,4,2,1,1,0,"Did not finish HS",0.4775,1,1,1,0.806936696738806,0.807703825651919,1,3,2,-1.42890890025337,0.31262271779401,1,1,1,-1.7355264725249,0.591394744301695,1,2,0.338874257656122,0.562154073339517,-0.504656104595835,1,0,0.696962140587202,-0.510169826317576,0.579127666229753,-0.41674336270947,0.67852620437566,-0.665528228537848,-0.849078403545326,0.087261859348337,-0.30017082424634
13,3,840,1995,4,"East South Central","South","White",1,0,0,"Democrat",0,2,2,,,,,,,,,,,,,,,,32,1,0,7,4,3,7,8,0,0,1,"College educated",0.285787,0,1,0,-0.882860183803518,0.654531176815778,3,2,3,-0.580529130134545,0.470595119156625,3,1,3,-0.939962739149571,0.408359173332456,0,1,-0.707339238667621,0.723983984503147,-0.777672822938814,0,,0.128807631789148,-0.454613289850839,-0.203441080370862,-0.69474480909493,-0.556043559866821,-0.193527467845661,-0.398334547428152,-0.623577845698569,0.302063268822093
14,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Republican",1,1,2,1,4,,,,,,,,,,,,,,74,1,1,5,8,2,4,8,0,0,1,"College educated",0.401528,0,0,1,0.125631677910071,0.702699549491361,2,2,3,-0.58958635123165,0.469927477417546,1,9,5,0.242918077240617,0.515372523171261,0,1,-0.707339238667621,0.723983984503147,-0.232093958687146,0,0,-0.439346877008906,0.712073975950639,0.839983915096624,-0.139204788323154,0.18076307902141,-0.198566502719149,0.271852187008127,-0.623577845698569,-0.30017082424634
15,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Republican",1,3,1,1,3,,,,,,,,,,,,,,48,0,0,3,7,1,1,2,1,1,0,"Did not finish HS",0.621713,1,1,1,0.806936696738806,0.807703825651919,2,3,4,0.825436691047461,0.470971794120509,1,1,6,-0.741907728068249,0.466972057039914,1,1,0.212692492770619,0.568754066178133,0.275789538122159,1,0,0.696962140587202,-0.0101609981169427,0.579127666229753,0.37795162453402,0.67852620437566,0.588689365321134,-0.28612219325337,0.00152887191442893,-0.902404917314772
16,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Democrat",0,1,1,1,4,,,,,,,,,,,,,,42,0,0,4,4,1,8,4,1,0,0,"HS grad",0.591065,0,1,1,0.413389421389005,0.748155754372448,2,3,3,-0.303593230664265,0.462428387961549,2,5,3,-0.343252351302371,0.39245784401277,2,1,0.909168065821029,0.679304338542695,0.168927976310849,0,0,-0.439346877008906,-0.176830607517154,-0.203441080370862,0.269138988711356,0.390999595384086,-0.039452653927551,-0.0602553591495541,0.474742506281776,0.50280796651157
17,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Democrat",0,1,1,1,3,,,,,,,,,,,,,,28,1,0,4,3,2,3,4,1,0,0,"HS grad",0.563287,0,0,1,0.125631677910071,0.702699549491361,2,3,3,-0.303593230664265,0.462428387961549,6,5,5,0.112936171038966,0.362018771484808,2,1,0.909168065821029,0.679304338542695,0.21103567102645,0,0,-0.439346877008906,-0.565726362784313,-0.464297329237733,0.312015483989527,0.18076307902141,-0.039452653927551,0.198208124101663,0.474742506281776,-0.500915521935817
18,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Democrat",0,1,1,1,3,,,,,,,,,,,,,,70,1,,7,4,2,3,2,1,1,0,"Did not finish HS",0.32963,0,0,1,0.125631677910071,0.702699549491361,1,2,2,-1.54455860050704,0.304298883673098,1,4,3,-0.648490312129937,0.395609619700658,1,2,0.338874257656122,0.562154073339517,-0.432135744267697,0,0,-0.439346877008906,0.600960903017165,-0.203441080370862,-0.342898928617744,0.18076307902141,-0.729870576642059,-0.233194533881708,0.087261859348337,-0.500915521935817
19,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Republican",1,1,1,1,4,,,,,,,,,,,,,,36,1,0,3,9,2,5,3,1,1,0,"Did not finish HS",0.66037,1,0,1,0.471476466386469,0.757386361734995,2,2,3,-0.58958635123165,0.469927477417546,5,5,6,0.163178073216785,0.345337292490956,2,2,1.07704355996514,0.675698282198414,0.280527937084187,0,0,-0.439346877008906,-0.343500216917365,1.1008401639635,0.382776536989895,0.433438133573981,-0.198566502719149,0.226673761455708,0.588803897347104,-0.0994261265568622
20,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Democrat",0,2,3,1,4,,,,,,,,,,,,,,49,0,0,4,0,2,6,3,1,1,0,"Did not finish HS",0.604537,1,0,1,0.471476466386469,0.757386361734995,2,3,3,-0.303593230664265,0.462428387961549,1,1,5,-0.93819958791454,0.452050157742635,2,2,1.07704355996514,0.675698282198414,0.0766818019432021,0,0,0.128807631789148,0.0176172701164259,-1.24686607583835,0.175208587476677,0.433438133573981,-0.039452653927551,-0.397335595925896,0.588803897347104,0.101318571132615
